                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.34821,                0.55021,                0.93438,                0.97962,                      1,                  0.995,                0.95995,                0.37549,                0.36977,                0.98243,             0.00022675,             0.00022675,             0.00022675
                     37,                0.33522,                0.57596,                0.93694,                0.98515,                      1,                  0.995,                0.96368,                0.31065,                0.35778,                0.90209,              0.0002218,              0.0002218,              0.0002218
                     38,                0.38448,                0.57957,                0.98212,                0.97263,                      1,                  0.995,                0.96375,                0.30144,                0.35377,                0.89524,             0.00021685,             0.00021685,             0.00021685
                     39,                0.34352,                0.51225,                 0.9524,                0.97833,                 0.9662,                  0.995,                 0.9437,                 0.3139,                0.38464,                0.91079,              0.0002119,              0.0002119,              0.0002119
                     40,                0.33956,                0.54919,                0.93552,                0.97304,                0.95301,                  0.995,                0.94994,                0.32606,                0.40256,                0.91235,             0.00020695,             0.00020695,             0.00020695
                     41,                0.35568,                0.55321,                0.94617,                0.97607,                0.99605,                  0.995,                0.95834,                0.29668,                0.32895,                0.89801,               0.000202,               0.000202,               0.000202
                     42,                 0.3037,                0.50984,                0.91682,                0.96719,                0.97159,                  0.995,                0.95175,                0.28933,                0.37285,                0.91109,             0.00019705,             0.00019705,             0.00019705
                     43,                0.31266,                0.44418,                0.93655,                0.97784,                0.91215,                  0.985,                0.94008,                0.30504,                0.38994,                0.92143,              0.0001921,              0.0001921,              0.0001921
                     44,                0.33364,                0.46974,                0.92834,                0.91346,                0.93256,                  0.995,                0.96864,                0.29012,                0.45686,                0.89168,             0.00018715,             0.00018715,             0.00018715
                     45,                0.30892,                0.45469,                  0.923,                0.95364,                0.92085,                  0.995,                0.96864,                0.25293,                0.42289,                0.86432,              0.0001822,              0.0001822,              0.0001822
                     46,                0.29955,                0.46245,                0.90974,                0.96523,                 0.9237,                  0.995,                0.96322,                 0.2759,                 0.3632,                0.86562,             0.00017725,             0.00017725,             0.00017725
                     47,                0.34153,                0.49544,                0.96617,                0.91609,                0.96391,                  0.995,                0.96028,                0.27825,                0.36219,                0.87073,              0.0001723,              0.0001723,              0.0001723
                     48,                0.32937,                0.44497,                0.94657,                0.96345,                 0.9254,                  0.995,                0.97285,                  0.261,                0.35775,                0.86634,             0.00016735,             0.00016735,             0.00016735
                     49,                 0.3122,                0.44178,                0.92054,                0.96815,                0.96339,                  0.995,                0.97698,                0.24171,                0.27334,                0.85206,              0.0001624,              0.0001624,              0.0001624
                     50,                0.28576,                0.38741,                0.90089,                0.98126,                      1,                  0.995,                 0.9835,                0.25076,                0.26589,                0.85072,             0.00015745,             0.00015745,             0.00015745
                     51,                0.30402,                 0.3975,                0.90099,                0.98423,                      1,                  0.995,                0.98349,                0.25844,                0.27668,                0.85045,              0.0001525,              0.0001525,              0.0001525
                     52,                0.28141,                0.40691,                 0.9228,                0.98554,                      1,                  0.995,                0.99012,                0.27286,                0.28161,                0.84602,             0.00014755,             0.00014755,             0.00014755
                     53,                0.27769,                0.36578,                0.91329,                 0.9821,                      1,                  0.995,                0.97613,                0.27211,                0.28144,                0.84885,              0.0001426,              0.0001426,              0.0001426
                     54,                0.29582,                 0.3678,                0.91502,                 0.9818,                 0.9651,                  0.995,                0.97861,                 0.2565,                0.34981,                0.84546,             0.00013765,             0.00013765,             0.00013765
                     55,                0.30141,                 0.4263,                0.92144,                0.98406,                0.96434,                  0.995,                0.97856,                0.25335,                0.32578,                0.84911,              0.0001327,              0.0001327,              0.0001327
                     56,                0.30897,                0.42591,                0.92716,                0.97483,                0.99314,                  0.995,                0.97529,                0.25011,                0.30051,                0.85593,             0.00012775,             0.00012775,             0.00012775
                     57,                0.27226,                0.41946,                0.90142,                0.97475,                0.99371,                  0.995,                0.97402,                0.25969,                 0.2995,                0.86232,              0.0001228,              0.0001228,              0.0001228
                     58,                0.27003,                0.40597,                0.89174,                 0.9625,                0.97248,                  0.995,                0.98272,                0.26601,                0.29859,                0.86223,             0.00011785,             0.00011785,             0.00011785
                     59,                0.26361,                0.38732,                0.90579,                0.94475,                0.97061,                  0.995,                0.97387,                0.26108,                0.30782,                0.85831,              0.0001129,              0.0001129,              0.0001129
                     60,                0.25759,                0.39936,                0.90453,                0.97769,                0.96342,                  0.995,                0.97152,                0.25697,                0.28541,                0.86742,             0.00010795,             0.00010795,             0.00010795
                     61,                0.27384,                0.38255,                0.89326,                 0.9827,                0.95418,                  0.995,                0.97289,                0.25429,                0.30458,                0.87641,               0.000103,               0.000103,               0.000103
                     62,                0.24188,                0.35411,                 0.8957,                0.98755,                0.95729,                  0.995,                0.96795,                0.26049,                0.28564,                0.88299,              9.805e-05,              9.805e-05,              9.805e-05
                     63,                0.25117,                 0.3755,                 0.8974,                0.98529,                0.96063,                  0.995,                 0.9671,                0.26246,                0.28764,                0.87503,               9.31e-05,               9.31e-05,               9.31e-05
                     64,                0.25613,                0.34108,                0.91028,                0.98287,                0.96159,                  0.995,                0.97182,                0.26615,                0.31856,                0.86483,              8.815e-05,              8.815e-05,              8.815e-05
                     65,                0.26707,                0.36965,                0.90318,                0.97072,                 0.9692,                  0.995,                 0.9835,                0.25228,                0.31752,                0.84573,               8.32e-05,               8.32e-05,               8.32e-05
                     66,                0.24928,                0.36063,                0.91125,                0.97701,                0.95943,                  0.995,                 0.9835,                0.23435,                0.37079,                0.83587,              7.825e-05,              7.825e-05,              7.825e-05
                     67,                0.24157,                 0.3503,                 0.8784,                0.97919,                0.95871,                  0.995,                 0.9835,                0.22904,                0.35622,                0.83587,               7.33e-05,               7.33e-05,               7.33e-05
                     68,                0.24563,                0.32092,                0.91361,                0.98232,                0.95751,                  0.995,                0.98519,                0.22032,                 0.3435,                 0.8372,              6.835e-05,              6.835e-05,              6.835e-05
                     69,                0.24107,                0.31077,                0.88243,                0.98933,                0.95664,                  0.995,                0.99013,                0.22161,                0.30251,                0.83822,               6.34e-05,               6.34e-05,               6.34e-05
                     70,                0.24865,                0.31479,                0.89902,                0.99105,                0.95736,                  0.995,                0.98524,                0.22063,                0.27327,                0.83953,              5.845e-05,              5.845e-05,              5.845e-05
                     71,                0.24111,                0.41716,                0.87563,                0.96371,                0.99246,                  0.995,                0.98521,                0.21895,                0.25606,                0.83805,               5.35e-05,               5.35e-05,               5.35e-05
                     72,                0.22749,                0.35267,                0.87011,                0.98521,                      1,                  0.995,                0.97891,                0.21682,                0.23136,                0.83702,              4.855e-05,              4.855e-05,              4.855e-05
                     73,                 0.2332,                0.37358,                0.86899,                0.98471,                      1,                  0.995,                0.97719,                0.21827,                0.23848,                  0.841,               4.36e-05,               4.36e-05,               4.36e-05
                     74,                0.21807,                0.33938,                0.86365,                0.98581,                      1,                  0.995,                0.98256,                0.22271,                0.24111,                 0.8444,              3.865e-05,              3.865e-05,              3.865e-05
                     75,                 0.1988,                 0.2939,                0.83412,                0.98653,                      1,                  0.995,                0.98879,                0.22574,                0.24846,                0.84566,               3.37e-05,               3.37e-05,               3.37e-05
                     76,                0.19357,                0.29703,                0.86354,                0.98872,                      1,                  0.995,                0.98176,                0.22876,                0.24403,                 0.8452,              2.875e-05,              2.875e-05,              2.875e-05
                     77,                0.19443,                 0.2772,                 0.8705,                0.98843,                      1,                  0.995,                 0.9888,                0.22405,                0.23409,                0.84223,               2.38e-05,               2.38e-05,               2.38e-05
                     78,                0.19605,                 0.3099,                0.85938,                0.98259,                      1,                  0.995,                0.98881,                0.22017,                0.22494,                0.83951,              1.885e-05,              1.885e-05,              1.885e-05
                     79,                0.19365,                0.26929,                0.84052,                0.98166,                      1,                  0.995,                0.98881,                0.21788,                0.22087,                0.83801,               1.39e-05,               1.39e-05,               1.39e-05
                     80,                0.19144,                0.26116,                0.86368,                0.98467,                      1,                  0.995,                0.98882,                0.21858,                0.21615,                0.83864,               8.95e-06,               8.95e-06,               8.95e-06
